============================================================
DATASET TABLE
============================================================
Index    Bias       X0           X1           y    
------------------------------------------------------------
0        1.0        0.349671     0.332408     0    
1        1.0        0.286174     0.261492     0    
2        1.0        0.364769     0.232308     0    
3        1.0        0.452303     0.361168     0    
4        1.0        0.276585     0.403100     0    
5        1.0        0.276586     0.393128     0    
6        1.0        0.457921     0.216078     0    
7        1.0        0.376743     0.269079     0    
8        1.0        0.253053     0.333126     0    
9        1.0        0.354256     0.397555     0    
10       1.0        0.253658     0.252083     0    
11       1.0        0.253427     0.281434     0    
12       1.0        0.324196     0.189367     0    
13       1.0        0.108672     0.180379     0    
14       1.0        0.127508     0.381253     0    
15       1.0        0.243771     0.435624     0    
16       1.0        0.198717     0.292799     0    
17       1.0        0.331425     0.400353     0    
18       1.0        0.209198     0.336164     0    
19       1.0        0.158770     0.235488     0    
20       1.0        0.446565     0.336140     0    
21       1.0        0.277422     0.453804     0    
22       1.0        0.306753     0.296417     0    
23       1.0        0.157525     0.456464     0    
24       1.0        0.245562     0.038025     0    
25       1.0        0.311092     0.382190     0    
26       1.0        0.184901     0.308705     0    
27       1.0        0.337570     0.270099     0    
28       1.0        0.239936     0.309176     0    
29       1.0        0.270831     0.101243     0    
30       1.0        0.239829     0.278033     0    
31       1.0        0.485228     0.335711     0    
32       1.0        0.298650     0.447789     0    
33       1.0        0.194229     0.248173     0    
34       1.0        0.382254     0.219151     0    
35       1.0        0.177916     0.249824     0    
36       1.0        0.320886     0.391540     0    
37       1.0        0.104033     0.332875     0    
38       1.0        0.167181     0.247024     0    
39       1.0        0.319686     0.351327     0    
40       1.0        0.373847     0.309708     0    
41       1.0        0.317137     0.396864     0    
42       1.0        0.288435     0.229795     0    
43       1.0        0.269890     0.267234     0    
44       1.0        0.152148     0.260789     0    
45       1.0        0.228016     0.153649     0    
46       1.0        0.253936     0.329612     0    
47       1.0        0.405712     0.326106     0    
48       1.0        0.334362     0.300511     0    
49       1.0        0.123696     0.276541     0    
50       1.0        0.558463     0.725049     1    
51       1.0        0.657935     0.734645     1    
52       1.0        0.665729     0.631998     1    
53       1.0        0.619772     0.723225     1    
54       1.0        0.683871     0.729307     1    
55       1.0        0.740405     0.628565     1    
56       1.0        0.888619     0.886577     1    
57       1.0        0.717458     0.747383     1    
58       1.0        0.725755     0.580870     1    
59       1.0        0.692555     0.765655     1    
60       1.0        0.508123     0.602532     1    
61       1.0        0.697349     0.778708     1    
62       1.0        0.706023     0.815860     1    
63       1.0        0.946324     0.617932     1    
64       1.0        0.680764     0.796338     1    
65       1.0        0.730155     0.741278     1    
66       1.0        0.696529     0.782206     1    
67       1.0        0.583132     0.889679     1    
68       1.0        0.814282     0.675461     1    
69       1.0        0.775193     0.624626     1    
70       1.0        0.779103     0.611049     1    
71       1.0        0.609061     0.618419     1    
72       1.0        0.840279     0.692290     1    
73       1.0        0.559815     0.734115     1    
74       1.0        0.758686     0.727669     1    
75       1.0        0.919046     0.782718     1    
76       1.0        0.600946     0.701300     1    
77       1.0        0.643370     0.845353     1    
78       1.0        0.709965     0.673534     1    
79       1.0        0.649652     0.972017     1    
80       1.0        0.544934     0.762567     1    
81       1.0        0.706856     0.614284     1    
82       1.0        0.593770     0.592911     1    
83       1.0        0.747359     0.748247     1    
84       1.0        0.608058     0.677654     1    
85       1.0        0.854993     0.771400     1    
86       1.0        0.621675     0.747324     1    
87       1.0        0.667794     0.692717     1    
88       1.0        0.781352     0.615321     1    
89       1.0        0.576914     0.548515     1    
90       1.0        0.722746     0.655349     1    
91       1.0        0.830714     0.785640     1    
92       1.0        0.539252     0.721409     1    
93       1.0        0.718463     0.575426     1    
94       1.0        0.725988     0.717318     1    
95       1.0        0.778182     0.738532     1    
96       1.0        0.576305     0.611614     1    
97       1.0        0.567954     0.715373     1    
98       1.0        0.752194     0.705821     1    
99       1.0        0.729698     0.585703     1    
============================================================
Total samples: 100
Class 0 samples: 50
Class 1 samples: 50
============================================================
