COMPACT DATASET TABLE - CSV FORMAT
========================================================================================================================================================================================================
Total Samples: 6000, η: 0.3, Initial β0: [0, 0.3, -0.5]
========================================================================================================================================================================================================

Idx,Bias,X0,X1,y,It0_β0,It0_β1,It0_β2,It0_σ(z),It0_Error,It5_β0,It5_β1,It5_β2,It5_σ(z),It5_Error,It10_β0,It10_β1,It10_β2,It10_σ(z),It10_Error,It15_β0,It15_β1,It15_β2,It15_σ(z),It15_Error,It20_β0,It20_β1,It20_β2,It20_σ(z),It20_Error
0,1.0,0.349671,0.109219,0,0.000000,0.300000,-0.500000,0.512570,-0.512570,0.012088,0.425368,-0.370884,0.530044,-0.530044,-0.019996,0.554005,-0.237395,0.536882,-0.536882,-0.080926,0.664119,-0.122363,0.534429,-0.534429,-0.156522,0.763360,-0.018200,0.527077,-0.527077
1,1.0,0.286174,0.213961,0,0.000000,0.300000,-0.500000,0.494718,-0.494718,0.012088,0.425368,-0.370884,0.513612,-0.513612,-0.019996,0.554005,-0.237395,0.521924,-0.521924,-0.080926,0.664119,-0.122363,0.520725,-0.520725,-0.156522,0.763360,-0.018200,0.514505,-0.514505
2,1.0,0.364769,0.258639,0,0.000000,0.300000,-0.500000,0.495028,-0.495028,0.012088,0.425368,-0.370884,0.517823,-0.517823,-0.019996,0.554005,-0.237395,0.530135,-0.530135,-0.080926,0.664119,-0.122363,0.532374,-0.532374,-0.156522,0.763360,-0.018200,0.529272,-0.529272
3,1.0,0.452303,0.488769,0,0.000000,0.300000,-0.500000,0.472853,-0.472853,0.012088,0.425368,-0.370884,0.505802,-0.505802,-0.019996,0.554005,-0.237395,0.528606,-0.528606,-0.080926,0.664119,-0.122363,0.539828,-0.539828,-0.156522,0.763360,-0.018200,0.544842,-0.544842
4,1.0,0.276585,0.355655,0,0.000000,0.300000,-0.500000,0.476305,-0.476305,0.012088,0.425368,-0.370884,0.499458,-0.499458,-0.019996,0.554005,-0.237395,0.512198,-0.512198,-0.080926,0.664119,-0.122363,0.514806,-0.514806,-0.156522,0.763360,-0.018200,0.512032,-0.512032
5,1.0,0.276586,0.166452,0,0.000000,0.300000,-0.500000,0.499937,-0.499937,0.012088,0.425368,-0.370884,0.516995,-0.516995,-0.019996,0.554005,-0.237395,0.523413,-0.523413,-0.080926,0.664119,-0.122363,0.520587,-0.520587,-0.156522,0.763360,-0.018200,0.512893,-0.512893
6,1.0,0.457921,0.348604,0,0.000000,0.300000,-0.500000,0.490770,-0.490770,0.012088,0.425368,-0.370884,0.519386,-0.519386,-0.019996,0.554005,-0.237395,0.537663,-0.537663,-0.080926,0.664119,-0.122363,0.545011,-0.545011,-0.156522,0.763360,-0.018200,0.546538,-0.546538
7,1.0,0.376743,0.145270,0,0.000000,0.300000,-0.500000,0.510096,-0.510096,0.012088,0.425368,-0.370884,0.529582,-0.529582,-0.019996,0.554005,-0.237395,0.538483,-0.538483,-0.080926,0.664119,-0.122363,0.537803,-0.537803,-0.156522,0.763360,-0.018200,0.532062,-0.532062
8,1.0,0.253053,0.408269,0,0.000000,0.300000,-0.500000,0.467989,-0.467989,0.012088,0.425368,-0.370884,0.492078,-0.492078,-0.019996,0.554005,-0.237395,0.505819,-0.505819,-0.080926,0.664119,-0.122363,0.509292,-0.509292,-0.156522,0.763360,-0.018200,0.507304,-0.507304
9,1.0,0.354256,0.252888,0,0.000000,0.300000,-0.500000,0.494958,-0.494958,0.012088,0.425368,-0.370884,0.517240,-0.517240,-0.019996,0.554005,-0.237395,0.529025,-0.529025,-0.080926,0.664119,-0.122363,0.530810,-0.530810,-0.156522,0.763360,-0.018200,0.527298,-0.527298
